id,x,y,width,height,xoffset,yoffset,xadvance,page,chnl
32,185,111,3,3,-1,26,9,0,15
33,16,95,5,21,3,7,10,0,15
34,123,111,10,9,1,6,12,0,15
35,77,50,18,21,1,7,21,0,15
36,0,0,16,27,1,6,17,0,15
37,96,27,26,21,1,7,28,0,15
38,186,23,20,21,0,7,19,0,15
39,134,111,5,9,1,6,7,0,15
40,47,0,10,27,1,6,12,0,15
41,58,0,10,27,1,6,12,0,15
42,42,113,14,14,1,6,17,0,15
43,22,95,18,18,2,10,21,0,15
44,77,113,7,10,1,22,9,0,15
45,154,111,10,4,1,17,12,0,15
46,148,111,5,6,2,22,9,0,15
47,116,0,13,26,-1,6,12,0,15
48,96,71,15,21,1,7,17,0,15
49,203,67,13,21,2,7,17,0,15
50,112,71,15,21,1,7,17,0,15
51,0,73,15,21,1,7,17,0,15
52,204,45,16,21,0,7,17,0,15
53,32,73,15,21,1,7,17,0,15
54,80,72,15,21,1,7,17,0,15
55,48,73,15,21,1,7,17,0,15
56,64,73,15,21,1,7,17,0,15
57,16,73,15,21,1,7,17,0,15
58,249,89,5,17,3,11,12,0,15
59,247,23,7,21,2,11,12,0,15
60,105,93,17,17,2,10,21,0,15
61,105,111,17,9,2,14,21,0,15
62,87,94,17,17,2,10,21,0,15
63,217,67,13,21,1,7,14,0,15
64,154,0,24,24,1,7,26,0,15
65,123,27,20,21,-1,7,18,0,15
66,238,45,16,21,2,7,18,0,15
67,96,49,18,21,0,7,18,0,15
68,151,49,17,21,2,7,20,0,15
69,159,71,14,21,2,7,16,0,15
70,174,69,14,21,2,7,15,0,15
71,207,23,19,21,0,7,20,0,15
72,221,45,16,21,2,7,20,0,15
73,0,95,9,21,1,7,11,0,15
74,243,67,11,21,0,7,12,0,15
75,115,49,17,21,2,7,18,0,15
76,189,67,13,21,2,7,14,0,15
77,20,51,18,21,2,7,22,0,15
78,128,71,15,21,2,7,19,0,15
79,144,27,20,21,0,7,20,0,15
80,144,71,14,21,2,7,16,0,15
81,95,0,20,26,0,7,20,0,15
82,39,51,18,21,2,7,18,0,15
83,187,45,16,21,1,7,18,0,15
84,0,51,19,21,-1,7,16,0,15
85,133,49,17,21,1,7,19,0,15
86,165,25,20,21,-1,7,18,0,15
87,69,28,26,21,0,7,26,0,15
88,58,51,18,21,0,7,18,0,15
89,227,23,19,21,-1,7,16,0,15
90,169,47,17,21,1,7,18,0,15
91,79,0,9,27,2,6,12,0,15
92,130,0,13,26,0,6,12,0,15
93,69,0,9,27,1,6,12,0,15
94,57,113,19,12,1,7,21,0,15
95,165,111,19,3,-1,28,17,0,15
96,140,111,7,7,3,4,17,0,15
97,188,91,15,17,0,11,16,0,15
98,32,28,15,22,1,6,16,0,15
99,204,89,14,17,0,11,14,0,15
100,16,28,15,22,0,6,16,0,15
101,140,93,15,17,0,11,15,0,15
102,243,0,12,22,-1,6,9,0,15
103,227,0,15,22,0,11,16,0,15
104,48,28,14,22,1,6,16,0,15
105,10,95,5,21,1,7,7,0,15
106,144,0,9,26,-1,7,9,0,15
107,211,0,15,22,1,6,15,0,15
108,63,28,5,22,1,6,7,0,15
109,41,95,23,17,2,11,25,0,15
110,219,89,14,17,1,11,16,0,15
111,123,93,16,17,0,11,16,0,15
112,0,28,15,22,1,11,16,0,15
113,195,0,15,22,0,11,16,0,15
114,30,114,11,17,1,11,11,0,15
115,234,89,14,17,0,11,14,0,15
116,231,67,11,21,-1,7,10,0,15
117,0,117,14,17,1,11,16,0,15
118,156,93,15,17,0,11,15,0,15
119,65,95,21,17,0,11,21,0,15
120,172,93,15,17,0,11,15,0,15
121,179,0,15,22,0,11,15,0,15
122,15,117,14,17,0,11,14,0,15
123,17,0,14,27,1,6,17,0,15
124,89,0,5,27,4,6,12,0,15
125,32,0,14,27,2,6,17,0,15
126,85,113,19,9,1,14,21,0,15
